,index,SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
6024,53885,Vacant/Abandoned Building,16-02348373,2016-04-07,Garage,,Open,GARAGE PANEL,Vacant,false,false,7628,S,HOYNE,AVE,60620,1163687.33986985,1854054.46452533,18,6,71,41.755152902003495,-87.67569942689192,"(41.755152902003495, -87.67569942689192)"
6025,53886,Vacant/Abandoned Building,16-02170312,2016-03-31,Front,,Open,ALL SIDES,Vacant,false,true,1630,S,HAMLIN,AVE,60623,1151318.81431311,1891575.8180342,24,10,29,41.85836739165327,-87.7200459964982,"(41.85836739165327, -87.7200459964982)"
6026,53887,Vacant/Abandoned Building,16-02288903,2016-04-05,Front,,Open,,Vacant,false,true,3218,W,83RD,PL,60652,1156379.39980506,1849052.18267559,18,8,70,41.7415760011187,-87.70261564710373,"(41.7415760011187, -87.70261564710373)"
6027,53888,Vacant/Abandoned Building,16-02291016,2016-04-05,Front,,Boarded,,Vacant,false,false,7955,S,FAIRFIELD,AVE,60652,1159427.01617419,1851753.0536158,18,8,70,41.74892577977167,-87.69137539330193,"(41.74892577977167, -87.69137539330193)"
6028,53889,Vacant/Abandoned Building,16-01901769,2016-03-21,Rear,,Open,,Vacant,false,false,812,S,KARLOV,AVE,60624,1149178.27238568,1896051.28090437,24,11,26,41.870690285526415,-87.72778733877884,"(41.870690285526415, -87.72778733877884)"
6029,53890,Vacant/Abandoned Building,16-01523042,2016-03-09,Front,,Open,,Vacant,false,false,8427,S,ESCANABA,AVE,60617,1196950.20003234,1849652.19009641,10,4,46,41.74231034527498,-87.55394793037287,"(41.74231034527498, -87.55394793037287)"
6030,53891,Vacant/Abandoned Building,16-01017750,2016-02-19,,,,,,,,5747,N,TALMAN,AVE,60659,1157632.524233,1938068.88251048,40,20,2,41.98582178871705,-87.69560140216039,"(41.98582178871705, -87.69560140216039)"
6031,53892,Vacant/Abandoned Building,15-05617275,2015-10-23,,,,,,,,2414,W,FARWELL,AVE,60645,1158982.05190233,1945404.02012769,50,24,2,42.00592199848015,-87.69043535051503,"(42.00592199848015, -87.69043535051503)"
6032,53893,Vacant/Abandoned Building,15-02279375,2015-05-27,,,,,,,,6514,N,SACRAMENTO,AVE,60645,1155153.520889,1943055.4549942,50,24,2,41.99955546400941,-87.70458442774165,"(41.99955546400941, -87.70458442774165)"
6033,53894,Vacant/Abandoned Building,15-02932847,2015-06-23,Front,,Boarded,,Vacant,false,false,4118,W,FLETCHER,ST,60641,1148340.89127815,1920625.31000919,31,25,21,41.938140096601366,-87.7302273753502,"(41.938140096601366, -87.7302273753502)"
6034,53895,Vacant/Abandoned Building,16-03313027,2016-05-13,,,,,,,,7239,S,CAMPBELL,AVE,60629,1160961.99119782,1856571.15358087,18,8,66,41.76211580375497,-87.68561770763732,"(41.76211580375497, -87.68561770763732)"
6035,53896,Vacant/Abandoned Building,16-02541458,2016-04-15,,,,,,,,7326,S,ALBANY,AVE,60629,1156974.61407882,1855881.05186828,18,8,66,41.76030351843443,-87.70025068282459,"(41.76030351843443, -87.70025068282459)"
6036,53897,Vacant/Abandoned Building,16-02474486,2016-04-13,Rear,,Open,THE BACK DOOR IS OPEN.,Vacant,false,false,4155,W,78TH,PL,60652,1150007.24731883,1852113.24457129,18,8,70,41.75010188062716,-87.72588406569612,"(41.75010188062716, -87.72588406569612)"
6037,53898,Vacant/Abandoned Building,16-02348216,2016-04-07,Garage,,Open,,Vacant,false,false,7618,S,HOYNE,AVE,60620,1163685.33986985,1854121.56452533,18,6,71,41.755337076055305,-87.67570487669765,"(41.755337076055305, -87.67570487669765)"
6038,53899,Vacant/Abandoned Building,16-01895830,2016-03-20,Front,,Boarded,"SIDE DOOR IS OPEN,",Vacant,false,true,3546,W,62ND,PL,60629,1153847.6711329,1862949.42567695,23,8,66,41.779762821542384,-87.71152382974702,"(41.779762821542384, -87.71152382974702)"
6039,53900,Vacant/Abandoned Building,15-04995431,2015-09-23,,,,,,,,3546,W,62ND,PL,60629,1153847.6711329,1862949.42567695,23,8,66,41.779762821542384,-87.71152382974702,"(41.779762821542384, -87.71152382974702)"
6040,53901,Vacant/Abandoned Building,16-03371629,2016-05-16,Front,,Open,FRONT,Vacant,false,false,5722,S,PEORIA,ST,60621,1171284.45496619,1866895.29470977,16,7,68,41.790226954666004,-87.64748277305884,"(41.790226954666004, -87.64748277305884)"
6041,53902,Vacant/Abandoned Building,16-03276485,2016-05-12,Front,,Open,,Vacant,false,false,5258,S,HERMITAGE,AVE,60609,1165570.96432994,1869826.66302898,16,9,61,41.79839415091919,-87.66834947113453,"(41.79839415091919, -87.66834947113453)"
